movie_id,movie_name,director,star,genre
tt11542860,Time Traveler's,Benny Avemis#Simon Davidson#Rj Vervuurt,,romance
tt24218224,Prorok. Istoriya Aleksandra Pushkina,Felix Umarov,Paulina Andreeva#Yuriy Borisov#Filipp Yankovskiy#Kai Aleks Getts,romance
tt14832456,Pepper,,,romance
tt21652950,Swiped,Joe Ambridge,Mezi Atwood#Christopher Walz#Ben Portelli#Tyneak Hellings,romance
tt26238738,Vamp Camp: Being a Melodrama in Three Parts,Ryan Carlson,,romance
tt15106154,Red Thread of Fate,Woo Ae Yi,Cody Cowell#Anthony Sayo#Nick Messersmith#Woo Ae Yi,romance
tt12302590,In the Shadow of White,Peter Halmi,Kristina Goztola,romance
tt9371598,This Time Next Year I'll Be Famous,Mark Spayne,Laura Ellen Wilson#Mark Spayne#Carl Dobson#Stephanie Cubello,romance
tt16174896,Rumspringa,Brando Crawford,,romance
tt23747498,Onegin,Sarik Andreasyan,,romance
tt21906356,When You Look Me in the Eyes,Brogan McMorrow,Brogan McMorrow,romance
tt20969586,Thunderbolts,Jake Schreier,Harrison Ford#Florence Pugh#Julia Louis-Dreyfus#Olga Kurylenko,sci-fi
tt6263850,Deadpool 3,Shawn Levy,Ryan Reynolds#Hugh Jackman#Emma Corrin#Leslie Uggams,sci-fi
